Team,YardsPerCarry(Rank),YardsPerAttempt(Rank),CompletionPercentage(Rank),TurnoverMargin(Rank),3rdDownEfficiency(Rank),4thDownEfficiency(Rank),PointDifferential(Rank),YardsAllowedPerGame(Rank),TotalYardsPerGame(Rank),FieldGoalPercentage(Rank)
Baltimore Ravens,3,15,11,27,20,28,17,25,6,1
Detroit Lions,22,24,20,31,27,21,29,29,22,18
Tampa Bay Buccaneers,26,2,2,1,1,2,1,5,2,25
San Francisco 49ers,7,1,15,16,9,12,6,9,7,16
Philadelphia Eagles,1,9,25,5,4,3,8,10,14,10
Buffalo Bills,6,3,7,3,3,1,2,1,5,20
Cincinnati Bengals,24,5,13,5,7,6,5,18,13,12
Washington Football Team,12,23,28,20,22,7,22,22,21,15
Green Bay Packers,18,6,1,2,2,5,4,13,10,24
Atlanta Falcons,30,14,6,19,25,31,26,26,29,5
Kansas City Chiefs,16,4,4,30,6,4,8,27,3,19
Arizona Cardinals,9,7,3,4,5,8,7,11,8,32
Miami Dolphins,31,22,17,9,23,14,16,15,25,29
Minnesota Vikings,17,8,8,8,11,11,10,30,12,30
Los Angeles Chargers,19,10,9,24,10,9,14,23,4,31
Houston Texans,32,32,32,32,32,32,32,32,32,32
New York Jets,29,31,31,31,31,30,31,31,26,31
Denver Broncos,20,16,14,12,14,15,13,3,19,14
Pittsburgh Steelers,28,30,30,18,18,20,24,20,23,28
Los Angeles Rams,25,11,5,6,8,10,3,17,9,9
Carolina Panthers,21,28,29,25,29,27,25,2,30,26
New Orleans Saints,23,20,12,7,15,13,11,4,28,3
Cleveland Browns,2,12,19,10,13,16,15,7,18,6
Chicago Bears,14,27,27,28,28,29,27,24,24,27
Seattle Seahawks,5,13,10,14,17,19,12,12,20,7
Tennessee Titans,4,18,16,11,12,17,9,21,17,22
Indianapolis Colts,8,19,18,13,16,18,19,6,16,11
Las Vegas Raiders,15,17,21,15,19,22,20,28,11,17
New York Giants,27,29,26,26,30,26,28,19,27,21
Dallas Cowboys,11,21,22,17,21,23,21,14,1,13
New England Patriots,13,25,23,21,24,24,23,8,15,4
Jacksonville Jaguars,10,26,24,29,26,25,30,16,28,8
